Model,Train MAE,Train RMSE,Test MAE,Test RMSE,Commodity
XGBoost,0.00016710705786028506,0.0002587193865829482,0.000338102064783789,0.0007357636573119566,gold
Neural Network,0.011956709371123801,0.02300155775288298,0.034508571453305346,0.047307123138676625,gold
Ridge Regression,7.176384007227084e-05,0.00010344726543066435,6.37911552066435e-05,8.802106083523354e-05,gold
GARCH (Baseline),,,15.246277447585857,15.246305579262781,gold
XGBoost,0.00017447639516578493,0.00025720682681562557,0.001729118586359711,0.005203424543648516,copper
Neural Network,0.008099276178043534,0.01484406599137469,0.04420745622672151,0.06176790940331947,copper
Ridge Regression,4.370630530552253e-05,5.767391650157757e-05,5.5631973385876686e-05,8.205974303789657e-05,copper
GARCH (Baseline),,,18.85276245525401,18.852847888153345,copper
XGBoost,0.00019843615431088172,0.00031731657428185644,0.07167430488805802,0.1093310604882883,aluminum
Neural Network,0.00846682247482491,0.013836862121927451,0.05853586934515872,0.08221666930998739,aluminum
Ridge Regression,9.389756655736303e-05,0.0001542101070556786,0.00013552540436618637,0.00018324057008099376,aluminum
GARCH (Baseline),,,15.554924155594621,15.555074180339336,aluminum
XGBoost,0.00025856825899215214,0.00035506985816254137,0.05755525165982134,0.15070930270492086,cocoa
Neural Network,0.01002761249811195,0.016025367839945792,0.07843278261985696,0.16853058761196094,cocoa
Ridge Regression,8.393117589705314e-05,0.00011184679276744843,0.00014953625895669338,0.00029503245466037367,cocoa
GARCH (Baseline),,,36.34092728111072,36.34156639566387,cocoa
XGBoost,0.0002671464216057845,0.0003847176298503714,0.0012969184447589272,0.0040174901803195304,coffee
Neural Network,0.007934747752092516,0.016056044719687204,0.04409723012306435,0.06210261632744917,coffee
Ridge Regression,0.00010237233422869755,0.00012982015166220208,0.00012096385480687184,0.00018054487490525977,coffee
GARCH (Baseline),,,30.366459263558085,30.366534060341223,coffee
XGBoost,0.00020785653262962305,0.0003265708248708938,0.020466883809000202,0.0868413901643183,cotton
Neural Network,0.017380091038602004,0.037964610972453856,0.07592991630184227,0.19201583153889096,cotton
Ridge Regression,4.7763345110752906e-05,6.81838932965298e-05,8.234374600078416e-05,0.00015347999784489903,cotton
GARCH (Baseline),,,21.267798932810095,21.268191766852443,cotton
XGBoost,0.0006480407938432974,0.0010171104622761027,0.0011778242584556742,0.0028007988851345414,crude_oil
Neural Network,0.017670261481047337,0.025810907716212292,0.02933208424667469,0.0406930602784018,crude_oil
Ridge Regression,0.000494149137025276,0.0008362770837449412,0.00044350484838010575,0.0006084839706242187,crude_oil
GARCH (Baseline),,,26.95102921303273,26.951291744936196,crude_oil
XGBoost,0.0005442846012159816,0.000763635317343477,0.02414214049505037,0.11149705341848322,natural_gas
Neural Network,0.008799415982573553,0.021450695384128155,0.06369592269495587,0.09494762072250022,natural_gas
Ridge Regression,0.0002459917874241082,0.00037098901096755175,0.0003766283629616655,0.0006708842841055573,natural_gas
GARCH (Baseline),,,70.9570340032156,70.95756138436428,natural_gas
